"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.00375088899846e-17,0.250282693901218,0.265,0.246,1.90663428825431e-12,"PUF60"
3.33362068938527e-249,-0.251172737734362,0.95,0.927,7.05927517184225e-245,"RPS6"
8.58097428037765e-44,-0.253260889636134,0.346,0.414,1.81710711361277e-39,"ARID4B"
7.30881244802852e-26,-0.256721126271794,0.339,0.388,1.54771412399452e-21,"EML4"
1.36866363940996e-248,-0.260115959694194,0.893,0.886,2.89828212281453e-244,"HNRNPA1"
8.57614814875923e-35,-0.260415408801616,0.333,0.39,1.81608513198125e-30,"NR3C1"
6.28758654317479e-30,-0.261480836448939,0.234,0.282,1.33145932638269e-25,"PRPF8"
6.17647971479937e-66,-0.262355357845465,0.265,0.342,1.30793134440591e-61,"CCDC59"
1.05360526947004e-43,-0.26321137952571,0.327,0.392,2.23111451862976e-39,"HNRNPH3"
3.57474170043241e-55,-0.263726786399425,0.4,0.471,7.56987302483568e-51,"IKZF1"
2.18923000266359e-126,-0.263775195755048,0.79,0.825,4.63591345364041e-122,"UBB"
6.51350771780349e-229,-0.264049560184561,0.842,0.864,1.37930039432207e-224,"PCBP2"
1.52364820136456e-84,-0.264617324257952,0.577,0.643,3.22647743120959e-80,"EIF4B"
7.43861405250762e-20,-0.265152381783725,0.262,0.301,1.57520091175901e-15,"HMHA1"
3.44896701757415e-46,-0.265371943234437,0.486,0.548,7.30353255641503e-42,"SRSF3"
8.39660616642232e-290,-0.265521504858488,0.9,0.895,1.77806532180159e-285,"RPL38"
1.00731237182186e-290,-0.266331453201263,0.961,0.937,2.13308467856997e-286,"RPS18"
3.81736768842771e-21,-0.268210070415221,0.319,0.355,8.08365781701451e-17,"TUBA4A"
7.15914319703274e-49,-0.269441874446782,0.389,0.458,1.51602016340365e-44,"EMD"
1.13180486896719e-133,-0.271975542151742,0.862,0.832,2.39670999052491e-129,"EEF1G"
2.21972298438268e-37,-0.273000076116452,0.219,0.27,4.70048539172876e-33,"CGGBP1"
3.57909519644551e-57,-0.276520152170457,0.599,0.643,7.57909198799301e-53,"SOD1"
1.08027939717518e-35,-0.27683361426782,0.237,0.288,2.28759965145816e-31,"RORA"
0,-0.278472765161122,0.973,0.962,0,"TPT1"
3.26686997686923e-25,-0.279475762505804,0.236,0.279,6.91792386301829e-21,"YTHDC1"
4.37487266235678e-68,-0.283173658814011,0.382,0.462,9.26423034980672e-64,"SPOCK2"
6.20822013583315e-56,-0.29129668390562,0.31,0.382,1.31465269596403e-51,"ZNF207"
1.99483464124395e-20,-0.291779013639927,0.384,0.428,4.2242618362982e-16,"DDX3X"
1.29358312775896e-57,-0.29440961558438,0.418,0.49,2.73929163134238e-53,"UBE2B"
7.70302137944764e-12,-0.296780752721581,0.417,0.449,1.63119180731183e-07,"ID2"
4.00366638535017e-93,-0.297487752723715,0.452,0.542,8.47816393761752e-89,"RSL24D1"
3.35797276313125e-19,-0.29986117720315,0.221,0.255,7.11084312320674e-15,"NFATC2"
1.4973860554818e-53,-0.300534695594191,0.195,0.255,3.17086471108826e-49,"CBLB"
1.62971279429621e-73,-0.302480813456176,0.398,0.484,3.45107981320165e-69,"VAPA"
2.32290327850664e-25,-0.302736247208884,0.255,0.299,4.91897998256567e-21,"ILF3"
1.89041482199427e-103,-0.309918881156414,0.622,0.698,4.00314242705507e-99,"MBNL1"
0,-0.310453250187412,0.976,0.965,0,"EIF1"
3.20796857357368e-223,-0.312469038304233,0.849,0.879,6.79319425139962e-219,"LAPTM5"
6.73581687388337e-72,-0.317119859482688,0.278,0.359,1.42637658121354e-67,"PPP2CA"
1.22525553519288e-36,-0.32118287094864,0.374,0.311,2.59460112132444e-32,"CCL4"
2.97603679686578e-40,-0.321239164692909,0.208,0.261,6.30205552104298e-36,"PHF1"
2.50624621955296e-298,-0.322654297885316,0.832,0.856,5.30722699452534e-294,"RPL27A"
1.03788333237115e-43,-0.326054108519296,0.387,0.451,2.19782174462914e-39,"DDX17"
5.12609465558275e-144,-0.326722046039466,0.965,0.979,1.0855018042662e-139,"MT.ATP8"
8.56962244879213e-153,-0.329009480991714,0.992,0.994,1.81470324975622e-148,"MT.CYB"
0,-0.330311326324084,0.945,0.919,0,"RPL3"
4.10564232341777e-53,-0.331154939876803,0.199,0.258,8.69410818406948e-49,"DOCK10"
7.86284445234218e-96,-0.331433114731163,0.36,0.452,1.66503594122798e-91,"ARHGAP15"
4.74886193228334e-46,-0.332021098971408,0.208,0.26,1.00561900278032e-41,"MYADM"
1.91266721353454e-79,-0.332794361766999,0.277,0.361,4.05026409138074e-75,"LAMP1"
0,-0.332997073966474,0.917,0.922,0,"PABPC1"
9.18936509215334e-30,-0.335549986913925,0.388,0.442,1.94593995191439e-25,"GNAS"
5.74248500758322e-73,-0.338057317929646,0.307,0.386,1.21602862520582e-68,"ANKRD44"
3.93266620251209e-115,-0.338728748776961,0.528,0.609,8.32781395043961e-111,"LEPROTL1"
1.99411894382833e-97,-0.341015753875442,0.293,0.385,4.22274627545086e-93,"MATR3.1"
0,-0.341809259307705,0.992,0.99,0,"MALAT1"
0.411294893334912,-0.347460114615984,0.328,0.327,1,"CEBPB"
7.53849159665263e-228,-0.348305010827219,0.832,0.832,1.59635098050716e-223,"NPM1"
3.24328648640469e-50,-0.349099041642458,0.221,0.279,6.86798346361058e-46,"ST3GAL1"
6.5559144407812e-16,-0.350940478258562,0.312,0.336,1.38828044197983e-11,"MAP3K8"
3.38562213703929e-51,-0.351634452611331,0.203,0.261,7.16939343739439e-47,"USP16"
3.72331835488534e-73,-0.352764676836323,0.237,0.31,7.8844989483052e-69,"EPB41L4A.AS1"
1.41081284300491e-31,-0.355141931395229,0.345,0.404,2.98753727634719e-27,"MAX"
1.70931171651641e-30,-0.356900733788419,0.231,0.276,3.61963849089515e-26,"AFF4"
3.37983168028253e-95,-0.360185585654644,0.294,0.385,7.15713156616629e-91,"SBDS"
9.12851466148553e-99,-0.361386134036122,0.424,0.52,1.93305426471618e-94,"ARHGEF1"
3.97078135182522e-99,-0.361621823966619,0.423,0.51,8.4085265906251e-95,"TMEM123"
3.59121815631307e-62,-0.367008045985157,0.544,0.592,7.60476356780855e-58,"LDHA"
7.19893189076285e-62,-0.369179326600401,0.194,0.258,1.52444581718794e-57,"MAPRE1"
7.8859124116045e-307,-0.370144016458375,0.981,0.983,1.66992081228137e-302,"MT.ND4L"
2.45739473722231e-104,-0.370512675051436,0.537,0.616,5.20377909554195e-100,"SRSF7"
6.03490506519218e-135,-0.371810623109761,0.476,0.582,1.2779514966051e-130,"PRRC2C"
1.90730107861055e-116,-0.378076390296664,0.287,0.383,4.03890076406571e-112,"TCF7"
1.55041964479445e-87,-0.378106670195253,0.19,0.266,3.28316863981673e-83,"TXK"
1.15363898560487e-64,-0.3802227696505,0.267,0.336,2.44294591591688e-60,"ARHGAP4"
2.36545090167231e-51,-0.380860507383684,0.303,0.366,5.00907882938128e-47,"SLC38A2"
6.99941364766811e-86,-0.387807914321306,0.185,0.257,1.4821958340302e-81,"RCAN3"
1.17449398069129e-102,-0.387863065922159,0.273,0.196,2.48710845351188e-98,"PPBP"
2.00785727092397e-263,-0.397989711745365,0.722,0.782,4.2518385569086e-259,"GLTSCR2"
3.21857126088633e-125,-0.398615319413207,0.374,0.478,6.8156465020529e-121,"TAF1D"
1.57582541318514e-88,-0.399883792301279,0.388,0.47,3.33696789496085e-84,"DYNLL1"
7.61062247322535e-142,-0.403478885807677,0.458,0.568,1.6116254149302e-137,"CELF2"
2.40305731158275e-94,-0.403652987552817,0.221,0.303,5.08871416300764e-90,"ISCA1"
2.16570500872205e-145,-0.408206056635038,0.522,0.623,4.58609692646981e-141,"CD44"
1.19308091452473e-169,-0.410743964965102,0.483,0.597,2.52646814459757e-165,"STK17B"
5.79808645351896e-78,-0.414109088347964,0.287,0.363,1.22780278739718e-73,"DDX21"
4.23707166790105e-132,-0.415781653057325,0.41,0.515,8.97242296394727e-128,"SUN2"
2.86250140316306e-62,-0.416032222407285,0.19,0.25,6.0616329713381e-58,"FKBP5"
9.59420493571077e-194,-0.416713659049659,0.986,0.99,2.03166883718611e-189,"MT.ND3"
7.31619264180376e-71,-0.418008713062775,0.232,0.304,1.54927695382836e-66,"CNOT2"
8.92676796759659e-116,-0.418104185697321,0.427,0.524,1.89033238481825e-111,"SMCHD1"
8.8403076575553e-206,-0.418683359308895,0.576,0.684,1.87202354956391e-201,"EIF4A2"
2.29005324011658e-78,-0.420720165990114,0.303,0.381,4.84941674127087e-74,"EIF4A1"
1.06982004087786e-70,-0.423138515622075,0.261,0.333,2.26545091856296e-66,"ATP1A1"
2.08811163492525e-101,-0.423357619345984,0.228,0.313,4.4217851981177e-97,"USP3"
6.48224320787415e-67,-0.424989113661957,0.192,0.251,1.37267982169943e-62,"GPR183"
1.65421306185613e-70,-0.425263084428769,0.196,0.263,3.50296157978653e-66,"RNMT"
0,-0.430049832022884,0.883,0.888,0,"ZFP36L2"
1.16412587478776e-99,-0.430711886146809,0.267,0.354,2.46515295245056e-95,"SSH2"
3.87472246092878e-86,-0.433875246335756,0.291,0.373,8.20511228326279e-82,"SORL1"
1.1337127180599e-81,-0.439270899416633,0.225,0.3,2.40075005176364e-77,"MGEA5"
4.9235370097067e-114,-0.439408952193616,0.317,0.41,1.04260819717549e-109,"G3BP2"
1.22761493016193e-262,-0.444232068779863,0.823,0.847,2.59959737611089e-258,"TSC22D3"
6.36029119890065e-162,-0.446376655583569,0.358,0.475,1.3468552642792e-157,"PIK3IP1"
3.20167222095738e-106,-0.451890057504996,0.249,0.336,6.77986109509934e-102,"ITK"
4.46981517059468e-112,-0.452678569413284,0.274,0.367,9.4652806052513e-108,"RNF125"
1.32825790690256e-82,-0.455536441953659,0.337,0.418,2.81271894365687e-78,"FMNL1"
2.0779870182668e-86,-0.455583396990243,0.436,0.516,4.40034530988177e-82,"MCL1"
1.63782330455149e-75,-0.460987771859828,0.251,0.321,3.46825462971824e-71,"TGFBR2"
8.10536485779801e-75,-0.461437289927181,0.199,0.267,1.71639206228731e-70,"TRA2A"
4.48476539664325e-60,-0.461599781287447,0.199,0.26,9.49693920393175e-56,"SLBP"
2.12910474546344e-97,-0.466437600425466,0.211,0.291,4.50859220899337e-93,"ARF4"
0,-0.467486940779264,0.966,0.941,0,"RPS3A"
1.43440698961396e-170,-0.467487199680713,0.975,0.983,3.03750024120652e-166,"MT.ND1"
1.9664930173192e-197,-0.469832272421292,0.371,0.497,4.16424561347513e-193,"RBM25"
